Steps,"Alpha = 0.01, Optimizer = Adam, HLayer = 2","Alpha = 0.1, Optimizer = Adam, HLayers = 2","Alpha = 0.01, Optimizer = MomentumOpt, HLayers = 2","Alpha = 0.1, Optimizer = MomentumOpt, HLayers = 2","Alpha = 0.01, Optimizer = AdamOpt, HLayers = 4"
0,0.3199999928474426,0.1599999964237213,0.14000000059604645,0.20000000298023224,0.20000000298023224
5,0.5400000214576721,0.20000000298023224,0.07999999821186066,0.119999997317791,0.20000000298023224
10,0.41999998688697815,0.239999994635582,0.14000000059604645,0.07999999821186066,0.25999999046325684
15,0.5799999833106995,0.059999998658895486,0.20000000298023224,0.14000000059604645,0.3199999928474426
20,0.5600000023841858,0.07999999821186066,0.1599999964237213,0.0,0.4000000059604645
25,0.699999988079071,0.14000000059604645,0.18000000715255735,0.07999999821186066,0.6000000238418579
30,0.8399999737739563,0.18000000715255735,0.03999999910593033,0.18000000715255735,0.6000000238418579
35,0.8199999928474426,0.10000000149011612,0.1599999964237213,0.119999997317791,0.7799999713897705
40,0.8199999928474426,0.25999999046325684,0.14000000059604645,0.18000000715255735,0.6600000262260437
45,0.8399999737739563,0.14000000059604645,0.059999998658895486,0.14000000059604645,0.7799999713897705
50,0.9399999976158142,0.18000000715255735,0.059999998658895486,0.18000000715255735,0.7599999904632568
55,0.9200000166893004,0.25999999046325684,0.10000000149011612,0.119999997317791,0.7799999713897705
60,0.8600000143051147,0.18000000715255735,0.059999998658895486,0.20000000298023224,0.6800000071525574
65,0.9200000166893004,0.10000000149011612,0.18000000715255735,0.20000000298023224,0.6399999856948853
70,0.9399999976158142,0.20000000298023224,0.2199999988079071,0.20000000298023224,0.8600000143051147
75,0.9800000190734864,0.14000000059604645,0.2199999988079071,0.10000000149011612,0.7599999904632568
80,0.959999978542328,0.2199999988079071,0.20000000298023224,0.14000000059604645,0.8199999928474426
85,0.9800000190734864,0.18000000715255735,0.239999994635582,0.239999994635582,0.8799999952316284
90,0.8999999761581421,0.14000000059604645,0.1599999964237213,0.239999994635582,0.7400000095367432
95,0.9399999976158142,0.1599999964237213,0.239999994635582,0.20000000298023224,0.8600000143051147
100,1.0,0.20000000298023224,0.14000000059604645,0.2199999988079071,0.7599999904632568
105,0.9800000190734864,0.1599999964237213,0.14000000059604645,0.18000000715255735,0.8600000143051147
110,0.9800000190734864,0.1599999964237213,0.1599999964237213,0.119999997317791,0.8799999952316284
115,0.9800000190734864,0.1599999964237213,0.1599999964237213,0.119999997317791,0.8999999761581421
120,0.959999978542328,0.18000000715255735,0.019999999552965164,0.1599999964237213,0.8600000143051147
125,0.9800000190734864,0.239999994635582,0.1599999964237213,0.20000000298023224,0.8600000143051147
130,0.9800000190734864,0.059999998658895486,0.059999998658895486,0.1599999964237213,0.8600000143051147
135,0.9399999976158142,0.119999997317791,0.1599999964237213,0.119999997317791,0.7200000286102295
140,0.959999978542328,0.10000000149011612,0.25999999046325684,0.30000001192092896,0.9399999976158142
145,0.9800000190734864,0.14000000059604645,0.2199999988079071,0.1599999964237213,0.8999999761581421
150,0.9800000190734864,0.30000001192092896,0.18000000715255735,0.20000000298023224,0.8600000143051147
155,1.0,0.20000000298023224,0.30000001192092896,0.20000000298023224,0.9599999785423279
160,1.0,0.1599999964237213,0.14000000059604645,0.14000000059604645,0.9200000166893005
165,0.8999999761581421,0.119999997317791,0.14000000059604645,0.2199999988079071,0.9200000166893005
